,F1 (0.5),F1 (0.5)_base,avg_prec,avg_prec_base,ext_F1 (0.5),ext_F1 (0.5)_base,ext_avg_prec,ext_avg_prec_base,ext_prec_rec_auc,ext_prec_rec_auc_base,ext_roc_auc,ext_roc_auc_base,portion,portion_base,prec_rec_auc,prec_rec_auc_base,roc_auc,roc_auc_base,threshold,weight,weight_base
0,0.0963552529438064,0.0,0.2646065012366788,0.24586756304279786,0.646103998256324,0.0,0.7592278251362814,0.4818226125057096,0.7592841469690034,0.5048204705644821,0.9439686719639164,0.8636407602744373,0.010068383999168871,0.010068383999168871,0.26460761203715155,0.2476905707296977,0.9636830979947968,0.9621803732362836,2.5,99.3208046179554,99.3208046179554
1,0.04090976221728987,0.0,0.15034153523949395,0.12907004097894528,0.512605241575329,0.0,0.6945388431684922,0.4498467600580074,0.6951925645864531,0.4665261833236339,0.9265865176163146,0.8766389307862956,0.004895116202533245,0.004895116202533245,0.15035126403114596,0.13048672852503562,0.9573808282112474,0.9599295568131276,3.0,204.28524239782,204.28524239781999
2,0.020690186312062986,0.0,0.07180353437495053,0.04878115231706096,0.4114991510273169,0.0,0.6701914046939568,0.4174330586368555,0.6703069791346056,0.42781887587208783,0.9332313813924202,0.8975975973006595,0.0020410525612533084,0.0020410525612533084,0.0717954002441524,0.04885466715070612,0.9553599725496532,0.9567479541633288,3.5,489.94328660793997,489.94328660793997
3,0.003589313271562985,0.0,0.02082779221524001,0.015929389362097358,0.15803568317085598,0.0,0.4972076154400494,0.3233353520554133,0.4974500175237416,0.3293020554682093,0.9411510630548912,0.9069833166404728,0.0007985156262293457,0.0007985156262293457,0.020817661794017568,0.01587917628833748,0.9487423789351908,0.9536394520223768,4.0,1252.3236454646221,1252.3236454646221
4,0.004265858071167149,0.0,0.005125140956964936,0.0047101030735379286,0.22314284009200536,0.0,0.24316314572457265,0.16630022284111895,0.243222899174887,0.1692816622083132,0.9191282746075202,0.901960376344095,0.0003029157523997128,0.0003029157523997128,0.005122356359888238,0.004672226510713739,0.9298932428014804,0.9485887742175796,4.5,3301.2479281052665,3301.2479281052665
5,0.001061456864565378,0.0,0.0014324276399322947,0.0011277189595256445,0.07430857649065349,0.0,0.09457531864613088,0.05943768866573941,0.09467546000713303,0.06053244471410845,0.90536578070848,0.90359291164986,0.00011008354340447112,0.00011008354340447112,0.001430475996093076,0.001083524171088212,0.9180437623327252,0.9439660222840353,5.0,9084.009917138845,9084.009917138845
0,0.0006991844500198732,0.0,0.0008305974785352801,0.0005132018647400329,0.04906241361988552,0.0,0.047940020419453055,0.032877781803276496,0.04804124984854927,0.033322349527308136,0.8618995334761799,0.9176122170125652,5.972725557512604e-05,5.972725557512604e-05,0.0008284222797074732,0.0004833185556327288,0.8552393663048061,0.9383693278010868,5.3,16742.774975524895,16742.774975524895
1,0.00030236581383550416,0.0,0.000575604961520875,0.00047622419057924414,0.022818168491558696,0.0,0.033554358588161776,0.030375775853752125,0.033603607512073766,0.03078685392652541,0.8903041040371187,0.9161382915241816,4.948143396177329e-05,4.948143396177329e-05,0.0005732099578810392,0.000444301346516262,0.8937919587344955,0.9361818164773112,5.4,20209.60024668134,20209.60024668134
2,0.0002287109205615396,0.0,0.0004201144875539969,0.00039708597490047717,0.017917564769479234,0.0,0.027721730657599,0.020439141307568832,0.02781473965279684,0.020749431593316558,0.9138217292072396,0.91050303695258,4.1668990888865665e-05,4.1668990888865665e-05,0.0004192421600137425,0.00036297737584738685,0.91294226528001,0.9395394684718412,5.5,23998.66132268658,23998.66132268658
6,0.0003935377821120348,0.0,0.0005715596214468893,0.00039708597490047717,0.030513601875330136,0.0,0.03453419608851468,0.020439141307568832,0.034539221603027644,0.020749431593316558,0.8980278025789978,0.91050303695258,4.1668990888865665e-05,4.1668990888865665e-05,0.0005686944620904812,0.00036297737584738685,0.8986858522909441,0.9395394684718412,5.5,23998.66132268658,23998.66132268658
3,0.00016870667170694952,0.0,0.00026673683225317946,0.00028187656809789487,0.01484304942032015,0.0,0.024417136124798226,0.018096953915042537,0.024421653954589312,0.01835901961906324,0.9131251765412302,0.9131314323935216,3.410255885683e-05,3.410255885683e-05,0.00026463513578985954,0.0002447236964961759,0.9094894059023624,0.9369255037559616,5.6,29323.31278125547,29323.31278125547
4,0.0001312304665045788,0.0,0.0002423918738224165,0.00022739969476888832,0.012254682076625759,0.0,0.019642494930206863,0.01415904517336298,0.01975631356469745,0.014386938054553053,0.8616362052599909,0.9029163966351078,2.8006874345010143e-05,2.8006874345010143e-05,0.00024181550719599325,0.0001863140711500287,0.8564059795432322,0.9296497418501308,5.7,35705.519569275515,35705.519569275515
5,0.00012012309398873435,0.0,0.00019018497626292462,0.00023566324665393965,0.011844419010569837,0.0,0.014567281496141662,0.01302834458107764,0.014584087323039684,0.013189144476354943,0.8333501616693405,0.930512579479002,2.322966975043528e-05,2.322966975043528e-05,0.00018687426395093808,0.0001866204521143904,0.7996576309979581,0.944433378673715,5.8,43048.39503718136,43048.39503718136
6,9.006600370119541e-05,0.0,0.0001803465214882186,0.00024898202401058754,0.008030152683434483,0.0,0.011012790488695046,0.009682518616462722,0.011017977164357894,0.009822062968782824,0.8627147598646252,0.9250020537037588,1.798416633391753e-05,1.798416633391753e-05,0.00017667000160183938,0.00018693768371516985,0.8746286346142662,0.9452437893088452,5.9,55604.467920986346,55604.467920986346
7,4.467627332181222e-05,0.0,1.944701613882136e-05,0.00021902767883721208,0.005135625952529097,0.0,0.0018538723801851493,0.0071595231646234955,0.0018675497454354265,0.007185732500059237,0.5714242035895419,0.937934341962052,1.4331079910334665e-05,1.4331079910334665e-05,1.8785548889794172e-05,0.00014703749121019143,0.541425271218941,0.9561941463237896,6.0,69778.41211246497,69778.41211246497
7,7.59495044876762e-05,0.0,6.800121260228636e-05,0.00021902767883721208,0.006478475216898416,0.0,0.004432452919095992,0.0071595231646234955,0.004434548248969178,0.007185732500059237,0.8721383752477962,0.937934341962052,1.4331079910334665e-05,1.4331079910334665e-05,6.485773365739133e-05,0.00014703749121019143,0.8836271188348115,0.9561941463237896,6.0,69778.41211246497,69778.41211246497
8,4.444523182731561e-05,0.0,1.8338583221168266e-05,0.0002615761910719884,0.004489669497329932,0.0,0.0018786819069027828,0.006813312273154756,0.0018789247786472887,0.006808327683220389,0.6351374388089817,0.9472621625351784,1.086535667127464e-05,1.086535667127464e-05,1.8139959092725256e-05,0.00016821229459090342,0.5735703305829668,0.9593039544849128,6.1,92035.63493168676,92035.63493168676
9,3.816955635392081e-05,0.0,1.7069837968531687e-05,0.0002615761910719884,0.0035593484436384406,0.0,0.0013594729959165491,0.006813312273154756,0.0013723748251672776,0.006808327683220389,0.7527658914186263,0.9472621625351784,8.898335181584116e-06,8.898335181584116e-06,1.6648164450949088e-05,0.00016821229459090342,0.7525526398516591,0.9593039544849128,6.2,112380.57227486637,112380.57227486637
