,threshold,portion,weight,avg_prec,roc_auc,max_F1,prec_rec_auc,ext_avg_prc,ext_roc_auc,ext_max_F1,ext_prec_rec_auc
0,4.5,0.0003029157523997128,3301.247928105267,"[0.005507346623808858, 0.005030551818712686, 0.004999222647469407, 0.00518208075894203, 0.005701495660318287, 0.004483054705630443, 0.005264262830466809, 0.00552606446775188]","[0.933189295048918, 0.8244787842549107, 0.9347756457022677, 0.9352452360138631, 0.9422521759854583, 0.9319118063969976, 0.9305346849848208, 0.9510584606661299]","[0.006393319548577402, 0.00880865849520414, 0.004171072196591253, 0.0032861687363747957, 0.0034724057507565047, 0.0037287758731774107, 0.0036511212809384706, 0.0037275071494211848]","[0.005482784554437136, 0.005026702013550193, 0.004994455754942532, 0.005179936137305119, 0.005696288173080661, 0.004483213867678687, 0.0052465149242571, 0.005516371207648495]","[0.2566035995439599, 0.2167016014129477, 0.24740118442473857, 0.24976634369056855, 0.2595674421763796, 0.22633689884865552, 0.23552451081935544, 0.24743603399360362]","[0.9233913723363201, 0.7795375592832072, 0.92517949946048, 0.9266172356215883, 0.9359118663340651, 0.9151709610196419, 0.9091306325891195, 0.9450767765992101]","[0.2905221355049486, 0.31595238934420283, 0.22146958483094933, 0.18409744548063892, 0.191234761141647, 0.20414655883469116, 0.19778738900481607, 0.20373665169056332]","[0.2567612347874292, 0.21690314667286442, 0.24741240257660257, 0.25002812062041146, 0.25966472098505705, 0.22655666900543678, 0.23566215733610288, 0.2475020103210078]"
1,4.9,0.0001352272811345756,7394.957523436555,"[0.0015577566425155254, 0.002094369152602844, 0.002675940351449505, 0.0019130827692828863, 0.0023085923768466736, 0.0014026206425076868, 0.002104622966968132, 0.0021426175561567893]","[0.9340698701299812, 0.931977366102999, 0.9236797903261942, 0.9432029987137432, 0.9295971760975348, 0.9239884731680791, 0.9369862388606752, 0.9411523500801248]","[0.0004550323804080195, 0.0005590215506847826, 0.0029061051271997602, 0.0005788798482666291, 0.0005525091786755404, 0.0007265847105120717, 0.0030980667637312024, 0.0017202899592124801]","[0.0015562196639140038, 0.0020920909711761664, 0.0026756714458693086, 0.0019130898007090377, 0.002306215484511192, 0.0013986951043711009, 0.0021022034286520574, 0.002141150578199034]","[0.09324531260484334, 0.11941402394789698, 0.14065909271711036, 0.11544920130833229, 0.12938135031368084, 0.09214993627318731, 0.12526256489998777, 0.1286481333012821]","[0.9287321571911014, 0.924439425118451, 0.9117222601335843, 0.9375875268717159, 0.9232664932488257, 0.9255121892809453, 0.9301767086785115, 0.9317817456524404]","[0.03141626741087541, 0.038259970705309496, 0.16785435599873388, 0.03937176594808827, 0.037697898623885576, 0.04949502922822574, 0.1714275479029031, 0.10938694435114645]","[0.0932818644905127, 0.11945753131895273, 0.14099138406787887, 0.11561703123626266, 0.1294321413000982, 0.0921596544646309, 0.12531361644625794, 0.12877674547109128]"
2,5.0,0.00011008354340447113,9084.009917138843,"[0.0012964302930132316, 0.0014566401208586973, 0.0012555323457255226, 0.0013335356114945265, 0.0014323886110101998, 0.0013129931261698646, 0.0014321821393444738, 0.0013322272741754862]","[0.9191271616507442, 0.9126702829901601, 0.9299988583632972, 0.9290752993886561, 0.9385697969712348, 0.8937985116473243, 0.9307986681292346, 0.9033984636092567]","[0.0008171033670523244, 0.0007681429606226874, 0.0008999830218903048, 0.000745278997990333, 0.0014311633894038098, 0.0004960236844630376, 0.000710642810435022, 0.0006220500669909734]","[0.001295189554274563, 0.0014544871714610376, 0.0012528401006670347, 0.001332851961483187, 0.0014304922406734237, 0.0013120989393968728, 0.0014292806279960068, 0.0013314539064034892]","[0.09006946936701833, 0.09149215146656779, 0.08214921458726228, 0.08758571870610452, 0.09502133298496458, 0.08863855530571793, 0.09161082638767946, 0.08275628001328593]","[0.9144837525415511, 0.8955179410473013, 0.9257985497788603, 0.9230548856707088, 0.933545711241446, 0.8889326513067045, 0.9259496210754958, 0.8832996038187498]","[0.05802054466727105, 0.05392141212563546, 0.06282042084594099, 0.05289841236074998, 0.09434687146976972, 0.03628176717943305, 0.05070506784477233, 0.04438532319449233]","[0.09013160899827684, 0.09152056006329129, 0.08224416892926045, 0.08773121104345091, 0.09503229955170724, 0.08869122850047875, 0.09162841886137424, 0.08287448027002534]"
3,5.1,8.905605500331149e-05,11228.882752136458,"[0.0009719962782692353, 0.0009273878187843417, 0.0010701488173483708, 0.0010252232287076908, 0.0009779219162118205, 0.0009295744949209229, 0.0010431689775183578, 0.001023099234001254]","[0.9044331838312355, 0.9386038604314919, 0.9292128917699423, 0.9256252870005272, 0.9192411913292396, 0.9475875353411177, 0.9359280681479296, 0.9311716317302566]","[0.0004511708456438906, 0.0003728237393982509, 0.0007424358146035911, 0.0010615252172675128, 0.0009758652548193587, 0.0004417311253100417, 0.0009084220758933276, 0.0006980424530933001]","[0.0009674827970107613, 0.0009261355680343583, 0.0010686914123333264, 0.0010244192103486395, 0.0009776247673714414, 0.0009266496604765757, 0.001041103078198376, 0.0010212867028290557]","[0.06085398381892785, 0.06696144427445361, 0.07392389605242185, 0.07309314870773931, 0.0726119077872586, 0.06397635223425269, 0.07482297553688079, 0.0712049411548297]","[0.8906223338530646, 0.9352994721839307, 0.9178174358933177, 0.9238144133940648, 0.9187470001250684, 0.942166833772207, 0.936136287407903, 0.9231424601934668]","[0.033240933066332405, 0.02740777559616147, 0.05326520320131339, 0.07325365821869624, 0.06852987286920785, 0.03183254568424964, 0.06529723739238312, 0.04979063672612109]","[0.06095703520600115, 0.06699189084872631, 0.07397391406200103, 0.07321095215720222, 0.07270222129105249, 0.06397364076112295, 0.07482478654641413, 0.0712258165134032]"
4,5.2,7.14862035238184e-05,13988.713216065687,"[0.0008680820220666659, 0.0007336876973603983, 0.0008777279859402454, 0.0006511685032823369, 0.0009175593845985015, 0.000837080965352316, 0.0008448032172886218, 0.0008240213491804088]","[0.9299740998765905, 0.9179327270362568, 0.9211488979105494, 0.9325551285746202, 0.9489309178528873, 0.9396626866143238, 0.9458987171475383, 0.919132813146304]","[0.0007384723294327774, 0.0003619110350293691, 0.00046541514877668526, 0.0005934940033249849, 0.0004717353530450272, 0.0003433691460848806, 0.0003090043480981434, 0.000298140278648565]","[0.0008664510028841545, 0.0007375801159518479, 0.0008766624894133958, 0.0006495359987738555, 0.0009154988604423031, 0.0008354275293540325, 0.000842507044976986, 0.0008233637265652354]","[0.06506619227743349, 0.06084301804961609, 0.060512585080778884, 0.043761034314310665, 0.055377521624880396, 0.06405161522342549, 0.05894930618625281, 0.06157160688668842]","[0.930392382573834, 0.9249498852594309, 0.9200690519197701, 0.9327007901143272, 0.9460370195029312, 0.9388277769780952, 0.9415423117670153, 0.9223191457260955]","[0.0568939110814615, 0.027120013949763207, 0.03595734907642376, 0.04487555464283502, 0.036000946976738384, 0.02600691806100106, 0.023933512971042594, 0.02291942718585536]","[0.06509944561425621, 0.061253680542667374, 0.06061683355615167, 0.04376385004174624, 0.05543790817031617, 0.06407218282114495, 0.05895422313956529, 0.06168743505602528]"
5,5.3,5.972725557512604e-05,16742.774975524895,"[0.0008742398483933156, 0.0007666363739484077, 0.0010038095813987985, 0.000802752992499126, 0.0008238459630762558, 0.000643372639550493, 0.00017535683356653187, 0.0007736617167272325]","[0.9386113672097234, 0.9169011762613992, 0.9307610309134184, 0.893161089807713, 0.7911493778177604, 0.9282234748847387, 0.810702815666875, 0.894777840975055]","[0.0007240883302128233, 0.00023616646799368623, 0.000828347327292128, 0.000366268007220958, 0.0003268535445041771, 0.000286303085439693, 0.00026636748380727695, 0.0008413584604689513]","[0.000867981880781605, 0.0007648762891522509, 0.001000456961099074, 0.0007999267561753939, 0.000809941347946059, 0.0006385436385618328, 0.00019183926009147992, 0.0007715494734457285]","[0.05184516177931367, 0.05022837222761843, 0.05430501102230193, 0.04371562676805118, 0.039230155259534855, 0.043024923820288455, 0.015575294749177642, 0.045426656616850095]","[0.9386607082114434, 0.915254839581313, 0.9293849132665101, 0.8862929096036122, 0.7816752330751743, 0.9204752757226415, 0.8279706766962907, 0.884399288013159]","[0.05190262519604457, 0.01760848858853063, 0.05925641676668821, 0.027209305306349765, 0.023517710546620666, 0.02114344266909885, 0.019777729955860936, 0.0591456219480326]","[0.05185656097665088, 0.05025298072089808, 0.05430179408709067, 0.043721070008003834, 0.03939125120511487, 0.04303734057491134, 0.01725074430280621, 0.04547850619266521]"
6,5.4,4.948143396177329e-05,20209.60024668134,"[0.0007775533251129298, 0.0008597200760283062, 0.0011037890033361616, 0.0007938877244887778, 0.0008199682291362391, 0.0001558565847660853, 0.000775279090758066, 0.0007123734796928909]","[0.9425010015249743, 0.9420095009368266, 0.9060097564222197, 0.9033524361658172, 0.8936422316925233, 0.7528453437985998, 0.8914601708867419, 0.9243248672804094]","[0.00045074393237201947, 0.00023028512588371916, 0.0005603040465643546, 0.00021239771050238842, 0.0002120557455657293, 0.00012779725746910766, 0.0006108613004444365, 0.0004767270160234542]","[0.000775117016916568, 0.000855854746325682, 0.0010987949368454672, 0.0007916288024461162, 0.0008181767562637311, 0.000154721952143277, 0.0007699049080907948, 0.0007104447252547827]","[0.049052571622312434, 0.04651120802884235, 0.05178842528994279, 0.047010595437499095, 0.04661132308653913, 0.010000715465105404, 0.045992581650771205, 0.04622096750865961]","[0.946656966612793, 0.936955647379569, 0.897487691532561, 0.9014365717826976, 0.8868580235845099, 0.7526634958257724, 0.8980026187809952, 0.929752458121126]","[0.03331406561200919, 0.01720241154449198, 0.04090325365030128, 0.016063172610673207, 0.015575597117148936, 0.009455017525097753, 0.04354770660159579, 0.034814997144102675]","[0.04905004162125693, 0.04651558387800874, 0.05182837514969454, 0.04713352498723325, 0.04666428375736533, 0.01000050130647891, 0.04602020718589665, 0.04622126637114166]"
7,5.5,4.1668990888865665e-05,23998.66132268658,"[0.00042276428215416506, 0.000418377541192713, 0.0004968537583885411, 0.00045068059876619593, 0.0005381706251008464, 0.0005295080095471716, 0.0004197576443387938, 0.00040508542545724145]","[0.9153658723388632, 0.9156661990315608, 0.9079460943125158, 0.9039196387937872, 0.9238776112810162, 0.9160644339319777, 0.9075063221399224, 0.8960232412007774]","[0.00018087132401151365, 0.0004150431397815884, 0.00017158736491880376, 0.00019717314784573476, 0.00027792377492208604, 0.0004126818104149084, 0.000507097721682379, 0.00037294348307902143]","[0.00042023451480494283, 0.0004173429511374928, 0.000493531673028771, 0.0004500789383445593, 0.0005297958630871119, 0.0005268517777256244, 0.00041517723050346156, 0.00040335634022797124]","[0.028347803157924317, 0.030668471008024636, 0.03033501843357608, 0.030041413268091646, 0.03138184662923279, 0.03029973902031348, 0.02578966385981816, 0.030368598337744305]","[0.9105587179097746, 0.908520730952897, 0.908752192826782, 0.9049839837808439, 0.9268122848915183, 0.9242495666755228, 0.9019975436242684, 0.8959843244133494]","[0.013663781919300727, 0.030887890665573587, 0.013560701724211702, 0.015211537194942847, 0.021993524178150196, 0.03168115548942394, 0.04037993277587887, 0.028247559349969788]","[0.028346901813641665, 0.03069269625686506, 0.030364924639948904, 0.030176605913402592, 0.03137680765419019, 0.030312066306860765, 0.025792040707187627, 0.030402140866171313]"
8,5.6,3.410255885683e-05,29323.312781255467,"[0.00025327777066758817, 0.000262444110860667, 0.00033919335169365884, 0.0002830653634368779, 0.00026156416954629274, 0.0002660779332974193, 0.0003043617067543398, 0.00021006264212229586]","[0.8924031685966181, 0.9026992277259307, 0.8852717922763153, 0.8502555044489551, 0.8948702782654254, 0.8107522728276525, 0.893903950104217, 0.8823830582136322]","[0.00032676715557600515, 0.00013929088172869272, 0.0001182184909959681, 0.00010167315030697666, 0.0003541647158942882, 0.0004503517538530263, 0.00022455815087151136, 0.00032035951456634666]","[0.0002514523723974176, 0.0002606382868758343, 0.0003369872346561669, 0.0002799632712055931, 0.0002598772690726883, 0.0002636775535669694, 0.0003023578375039538, 0.00020864769889375115]","[0.024849063398490207, 0.0235564498378458, 0.02753267193269892, 0.0256563017667032, 0.024667396743175765, 0.022275218449718352, 0.02683092599070517, 0.02015982835874413]","[0.9044028248640505, 0.9048699568581531, 0.8926325135276592, 0.881587457798368, 0.9031613913369636, 0.8249241131181545, 0.9054972103427793, 0.8916793623600845]","[0.029627292335804238, 0.011761022450921583, 0.010127426952200853, 0.009458527999099605, 0.03008602688238753, 0.04255398528990842, 0.020511688370566532, 0.029728840165075827]","[0.024859047677156423, 0.023623084700783784, 0.02756711397315049, 0.025721426040593177, 0.0246657502313075, 0.022355482645958838, 0.026841009192781783, 0.020182466736469132]"
9,5.7,2.8006874345010146e-05,35705.51956927551,"[0.00030008538556455723, 0.00038266482255568324, 0.0001467094775446705, 4.290723549779051e-05, 0.00022791918243624855, 0.00024318168081061942, 0.000270144813763119, 0.00033648952813314804]","[0.9192646853242665, 0.8504421024130253, 0.8443058222219859, 0.6596959297835921, 0.8238857929920883, 0.9369891035661345, 0.8564411398384524, 0.9173641695482414]","[0.0003136393374688312, 0.00044069850713380706, 0.0005016270134660003, 9.626593918971275e-05, 8.653479780556756e-05, 0.00025763054842517475, 0.0003413970979504852, 0.00018769846917811853]","[0.0002979164600773784, 0.00037114420445177323, 0.00014590078176815894, 4.210574402955958e-05, 0.00022595192181615458, 0.00024058299268585066, 0.0002676778060139288, 0.0003298663898032023]","[0.023519842679998477, 0.027096809461652372, 0.014511908069813943, 0.004140501882504198, 0.018270769861674856, 0.01967313551215396, 0.021003070603018904, 0.020886920696443278]","[0.9116288205755622, 0.8473892415736057, 0.8533270565601253, 0.6832596000971479, 0.8314867343841761, 0.94121949836197, 0.8561182679098315, 0.9214021961715865]","[0.028574013249457218, 0.038492759159339425, 0.039609828717157416, 0.008710037344055803, 0.008339974509633587, 0.02357272491573762, 0.03195490480025102, 0.01721423774837074]","[0.0235407187576066, 0.027128158321310453, 0.01449896655583164, 0.004139243483884263, 0.01827558784994063, 0.019670111370247274, 0.021014117114640695, 0.020884795653508703]"
10,5.8,2.3229669750435278e-05,43048.39503718136,"[8.436722125254202e-05, 0.00022642228456444608, 0.00026602576886927025, 0.00012437145725635801, 0.0002794660483777813, 0.00022552463385442257, 1.7923431038738073e-05, 0.00012714968660300076]","[0.6277264234748323, 0.761443511285821, 0.940863208036475, 0.7313346003017972, 0.8500501065691006, 0.8804046012440334, 0.6447091131892059, 0.8179947419303694]","[0.0003064255740514284, 0.0002454686255692394, 0.0001596696169509257, 0.00027800006527936756, 9.270947394722457e-05, 0.0001395255009013929, 4.981596869731242e-05, 9.668363425417524e-05]","[8.334041249061997e-05, 0.00022351677595519256, 0.00025913602098563124, 0.0001235454463237546, 0.0002511564454479894, 0.00022327156227890915, 1.786882159839922e-05, 0.0001257084010257082]","[0.009158512246325905, 0.014386888354889962, 0.017573760788048707, 0.0115890530544136, 0.016837781129696864, 0.018381252903890366, 0.0017851736394527804, 0.010963159864924375]","[0.6682457697813892, 0.79676492129792, 0.9407866022582155, 0.6971933042312306, 0.8700999352563992, 0.8929851657292559, 0.6858684721980004, 0.8291116054570074]","[0.027155027839270138, 0.02423118106220673, 0.014073957143608838, 0.021809029615374956, 0.00884182534116509, 0.013722150648656247, 0.004997813696936813, 0.008692912716663032]","[0.009247271259853175, 0.014411390520773634, 0.017571727400590723, 0.011638257529537784, 0.016865683071210367, 0.0183837357391491, 0.0017920304289350427, 0.010961126632629055]"
11,5.9,1.798416633391753e-05,55604.46792098635,"[0.00012817765737070148, 0.00015608077331414033, 0.0001408988245613263, 0.00020570345445160667, 7.196897730290333e-05, 7.70252153261189e-05, 0.00015244990584205352, 9.4515950172108e-05]","[0.8471446735184981, 0.8902605380684093, 0.8263559736146691, 0.816704787620533, 0.7525990100979583, 0.8200992224135949, 0.8240102520553365, 0.7519265392418233]","[0.00010739530765973384, 0.00011945355225934261, 0.0003335587943702688, 0.00021215199023191618, 5.681223893647489e-05, 0.00010579088335149331, 0.00021986315768495666, 8.499094125570322e-05]","[0.0001259918004434634, 0.00015326011088253076, 0.0001394474273190881, 0.00020413203809648505, 7.034248232213694e-05, 7.538194786979577e-05, 0.00014933260260957377, 9.325978999285112e-05]","[0.00755210127352894, 0.01095287356887591, 0.009370939411690328, 0.013685027002518987, 0.005526304702667385, 0.00599905516581571, 0.008195926358547575, 0.007098456761596418]","[0.7945438419371044, 0.899423218460827, 0.8244981699162498, 0.856888570753987, 0.7666459527660633, 0.8067732855603305, 0.8392777066909607, 0.7803040035398688]","[0.009101981561154144, 0.01029591671110905, 0.023811010975283306, 0.017534676688263556, 0.00460359471159259, 0.008694823743062522, 0.01620488248879399, 0.007246958784712912]","[0.007549533388871467, 0.010954793408511845, 0.009398781732236959, 0.013774828360617376, 0.005530436972414252, 0.006012429634721879, 0.008217461295179126, 0.007109497375808174]"
12,6.0,1.4331079910334665e-05,69778.41211246498,"[9.538465357952212e-05, 5.911530647167267e-05, 2.0849274852658665e-05, 0.00017523977694271984, 0.00012389609502090469, 8.968535886639989e-05, 2.2678027561528603e-05, 9.301265856319529e-05]","[0.855770009146559, 0.8342219975307453, 0.8034685846836656, 0.9587464444317055, 0.8734130795277686, 0.592869627733953, 0.6756278669243743, 0.8488929461783419]","[0.00014527222422262853, 7.536929490072048e-05, 7.737834239718105e-05, 0.00019821468037387253, 0.00018050667479256854, 3.48473300748086e-05, 9.497650129714756e-05, 2.9025189629162715e-05]","[9.399988924856783e-05, 5.8394395023118725e-05, 2.0827571820391726e-05, 0.0001716304292709105, 0.00012274721120247913, 8.64944329594953e-05, 2.28342611226922e-05, 9.203226976162236e-05]","[0.006753130470167644, 0.005549295686849987, 0.0019296129113019022, 0.011559056916430851, 0.008116239029307236, 0.0034476230833377468, 0.0026559838675746196, 0.007064597193288384]","[0.8338347461630445, 0.862016693144313, 0.8290583836307457, 0.9309080458505455, 0.8429578746044079, 0.5455044696781264, 0.7334209588765206, 0.8578941880987334]","[0.012360755793478853, 0.006821973178157491, 0.006490252237881231, 0.018649596426612333, 0.015373281779233047, 0.0023448873139449967, 0.0076556743761043424, 0.0025378092512932196]","[0.006752179164930417, 0.005547551427094308, 0.0019342163254194205, 0.011556045877364291, 0.008108978599120199, 0.0034458281363787223, 0.0026877219088044975, 0.007062628323512521]"
13,6.1,1.086535667127464e-05,92035.63493168676,"[7.655872321123945e-05, 3.1352224177697185e-05, 1.9577839644955746e-05, 2.6919783158616142e-06, 0.00010824761027387384, 8.955444356823239e-05, 0.00013806818523889484, 2.641606656727051e-05]","[0.8287901448516801, 0.9178837532819286, 0.8852717051455538, 0.25624776280962913, 0.934331508591526, 0.8965787335797172, 0.8505249719147744, 0.723399974521168]","[0.00026440753061231784, 9.699317973121479e-05, 4.8710444265129126e-05, 8.510608963432935e-06, 5.003024873558329e-05, 9.215249181099447e-05, 9.508956690631594e-05, 3.952268408996181e-05]","[7.52860888678334e-05, 3.108892980267279e-05, 1.9000798073426363e-05, 2.704100577963762e-06, 0.00010233500852382415, 8.817733288363463e-05, 0.0001331895445060271, 2.5277592179450708e-05]","[0.0049125274749687465, 0.0037732638438401664, 0.0017934758749764202, 0.0002784620760397422, 0.006730040300635574, 0.007103213724469345, 0.005802276820297594, 0.001029076147911185]","[0.8136440256356917, 0.9242110861514741, 0.8779469560824638, 0.3070211848933784, 0.9294668669883245, 0.8994931182313503, 0.8651755475449614, 0.7069889500516792]","[0.01557705328468074, 0.009123897216530555, 0.004706908206788812, 0.000770172011321265, 0.004789267026318089, 0.009463734328597557, 0.009029702970297029, 0.0031550872700695292]","[0.0049201733513396535, 0.003771685084061446, 0.001792787476827026, 0.00028234602246708873, 0.0067272646472822575, 0.0070956972683921885, 0.005804663982321669, 0.001036599424710573]"
